,size,H,name,slope,intercept,r_value
0,500,0.8,0.80_1,-0.44707024974410575,32.22931200864474,-0.1514478525941014
1,1000,0.8,0.80_1,-0.3048632603335506,31.394243252651993,-0.1192026218873669
2,1500,0.8,0.80_1,-0.10505022464652414,27.23194170597838,-0.044017486555408346
3,2000,0.8,0.80_1,-0.22377088811497403,36.56028868226419,-0.08248444173646792
4,2500,0.8,0.80_1,-0.06320069316362031,35.31217520878321,-0.02713124666459633
5,3000,0.8,0.80_1,0.011283335924748774,36.60919405707357,0.004965147764899542
6,3500,0.8,0.80_1,0.019927456581969913,40.07299348747409,0.007817697243184272
7,4000,0.8,0.80_1,0.15041161198066552,40.26394303906717,0.056527850837956146
8,4500,0.8,0.80_1,0.2400445474796801,39.57240138528362,0.11313033606069249
9,5000,0.8,0.80_1,0.029664360338380914,41.16226817579225,0.016986869667396074
10,5500,0.8,0.80_1,-0.4096122676989959,45.260576158454796,-0.16978654109138788
11,6000,0.8,0.80_1,-0.20490369350111895,45.874481876630924,-0.09828338292260902
12,6500,0.8,0.80_1,-0.4707143320075392,46.72166265568581,-0.21276579085362887
13,7000,0.8,0.80_1,-0.4689184505293117,51.03808172349653,-0.17761170408551014
14,7500,0.8,0.80_1,-0.4103824202448049,53.78173725078255,-0.14241062012892533
15,8000,0.8,0.80_1,-0.313617021586315,53.40557257542277,-0.11114218296013126
16,8500,0.8,0.80_1,-0.2545573787397801,55.235516388818525,-0.10745275502062282
17,9000,0.8,0.80_1,-0.23465592764072318,57.34889510682395,-0.109823020232287
18,9500,0.8,0.80_1,-0.1717748830055766,59.83567102603596,-0.08899846685236262
19,10000,0.8,0.80_1,-0.058356526703452885,63.01757989834354,-0.035147757479677307
20,10500,0.8,0.80_1,-0.17210658488873384,61.829079698805906,-0.10427963692690338
21,11000,0.8,0.80_1,-0.26996730307598993,63.20088950094819,-0.1458352551672863
22,11500,0.8,0.80_1,-0.2307527591488399,65.2290482951898,-0.12399045259488559
23,12000,0.8,0.80_1,-0.14609131526669702,68.02784292348286,-0.08388197688364392
24,12500,0.8,0.80_1,-0.12074480100826958,69.25179865129695,-0.07450869444834521
25,13000,0.8,0.80_1,-0.08638844238353437,71.02289018535669,-0.05658399384392474
26,13500,0.8,0.80_1,-0.01115761754733797,75.28111614609382,-0.008291664317322813
27,14000,0.8,0.80_1,-0.20376982329480098,65.21425959475383,-0.15886861774610891
